"Strong's"	"Goodrick-Kohlenberger"	"Greek Word"	"English Definition (brief)"	"English Definition (longer)"
"0263"	"0278"	"a)ma/rantos, on"	"unfading"	"unfading, enduring."
"0264"	"0279"	"a(marta/nw"	"I sin"	"originally: I miss the mark, hence (a) I make a mistake, (b) I sin, commit a sin (against God); sometimes the idea of sinning against a fellow-creature is present."
"0265"	"0280"	"a(ma/rthma, atos, to/"	"a fault, sin, evil deed"	"a fault, sin, evil deed."
"0266"	"0281"	"a(marti/a, as, h("	"a sin"	"prop: missing the mark; hence: (a) guilt, sin, (b) a fault, failure (in an ethical sense), sinful deed."
"0267"	"0282"	"a)ma/rturos, on"	"without witness, untestified to"	"without witness, untestified to."
"0268"	"0283"	"a(martwlo/s, on"	"sinning, sinful, a sinner"	"sinning, sinful, depraved, detestable."
"0269"	"0285"	"a)/maxos, on"	"not quarrelsome, peaceable"	"peaceable, abstaining from fighting, not contentious."
"0270"	"0286"	"a)ma/w"	"I mow, reap"	"I mow, reap, collect."
"0271"	"0287"	"a)me/qustos, ou, h("	"amethyst"	"amethyst (a kind of rock crystal: the best specimens are the color of unmixed wine, whence perhaps the name), believed to stave off drunkenness."
"0272"	"0288"	"a)mele/w"	"I neglect"	"I neglect, am careless of, disregard."
"0273"	"0289"	"a)/memptos, on"	"blameless"	"blameless, free from fault or defect."
"0274"	"0290"	"a)me/mptws"	"blamelessly"	"blamelessly."
"0275"	"0291"	"a)me/rimnos, on"	"free from anxiety"	"free from anxiety (though anxiety is rather too strong a word) or care."
"0276"	"0292"	"a)meta/qetos, on"	"unchanged, unchangeable"	"unchanged, unchangeable."
"0277"	"0293"	"a)metaki/nhtos, on"	"immovable, firm"	"immovable, firm."
"0278"	"0294"	"a)metame/lhtos, on"	"not to be repented of"	"not to be repented of, about which no change of mind can take place, not affected by change of mind."
"0279"	"0295"	"a)metano/htos, on"	"unrepentant"	"unrepentant, impenitent."
"0280"	"0296"	"a)/metros, on"	"not measurable, immeasurable"	"not measurable, immeasurable, to a limitless degree."
"0281"	"0297"	"a)mh/n"	"verily, truly, amen, so let it be"	"verily, truly, amen; at the end of sentences may be paraphrased by: So let it be."
"0282"	"0298"	"a)mh/twr, oros"	"whose mother's name is not recorded or known"	"(lit: motherless), whose mother's name is not recorded (or known)."
"0283"	"0299"	"a)mi/antos, on"	"undefiled, untainted"	"undefiled, untainted, free from contamination."
"0284"	"0300"	"*)aminada/b, o("	"Amminadab"	"Amminadab, son of Ram and father of Nahshon, one of the ancestors of Jesus."
"0285"	"0302"	"a)/mmos, ou, h("	"sand"	"sand, sandy ground."
"0286"	"0303"	"a)mno/s, ou=, o("	"a lamb"	"a lamb (as a type of innocence, and with sacrificial connotation)."
"0287"	"0304"	"a)moibh/, h=s, h("	"a change, an exchange"	"a change, an exchange; hence plur: reciprocal good deeds (services), a fitting requital."
"0288"	"0306"	"a)/mpelos, ou, h("	"a vine"	"a vine, grape-vine."
"0289"	"0307"	"a)mpelourgo/s, ou=, o("	"a vine-dresser"	"a vine-dresser, gardener."
"0290"	"0308"	"a)mpelw/n, w=nos, o("	"a vineyard"	"a vineyard."
"0291"	"0309"	"*)ampli/as, ou, o("	"Ampliatus"	"Ampliatus (Amplias), a male member of the church at Rome, probably of the imperial household."
"0292"	"0310"	"a)mu/nomai"	"I defend"	"I ward off, defend myself against, resist, defend, assist."
"0293"	"0312"	"a)mfi/blhstron, ou, to/"	"a fishing net, drag-net"	"prop: something thrown around; a fishing-net, drag-net."
"0294"	"0313,0314"	"a)mfie/nnumi"	"I put on, clothe"	"I put on, clothe."
"0295"	"0315"	"*)amfi/polis, ews, h("	"Amphipolis"	"Amphipolis, a leading city of Macedonia."
"0296"	"0316"	"a)/mfodon, ou, to/"	"a street, quarter, block"	"prop: a road around anything; the street of a village."
"0297"	"0317"	"a)mfo/teroi, ai, a"	"both of two"	"both (of two)."
"0298"	"0318"	"a)mw/mhtos, on"	"without blame or fault"	"without blame or fault, unblemished."
"0299"	"0320"	"a)/mwmos, on"	"blameless"	"blameless, without blemish, unblemished, faultless."
"0300"	"0321"	"*)amw/n, o("	"Amon"	"Amon (Amos), son of Manasseh and father of Josiah, an ancestor of Jesus."
"0301"	"0322"	"*)amw/s, o("	"Amos"	"Amos, son of Manasseh and father of Josiah, an ancestor of Jesus."
"0302"	"0323"	"a)/n"	"an untranslatable word that makes a statement contingent"	"an untranslatable word (under the circumstances, in that case, anyhow), the general effect of which is to make a statement contingent, which would otherwise be definite: it is thus regularly used with the subjunctive mood."
"0303"	"0324"	"a)na/"	"and, apiece, by, each, every, in, through"	"prep. Rare in NT; prop: upwards, up; among, between; in turn; apiece, by; as a prefix: up, to, anew, back."
"0304"	"0325"	"a)nabaqmo/s, ou=, o("	"a step, a flight of steps"	"a step, a flight of steps; the well-known ""stairs"" leading up from the temple to the tower of Antonia at Jerusalem."
"0305"	"0326"	"a)nabai/nw"	"I go up, mount, ascend"	"I go up, mount, ascend; of things: I rise, spring up, come up."
"0306"	"0327"	"a)naba/llw"	"I postpone, defer"	"I postpone, defer, especially: I postpone the trial of."
"0307"	"0328"	"a)nabiba/zw"	"I draw up"	"I draw up, as a net to shore."
"0308"	"0329"	"a)nable/pw"	"I look up, recover my sight"	"I look up, recover my sight."
"0309"	"0330"	"a)na/bleyis, ews, h("	"recovery of sight"	"recovery of sight."
"0310"	"0331"	"a)naboa/w"	"I shout upwards, cry out, raise my voice"	"I shout upwards, cry out, raise my voice."
"0311"	"0332"	"a)nabolh/, h=s, h("	"postponement, delay, putting off"	"postponement, delay, putting off."
"0312"	"0334"	"a)nagge/llw"	"I announce, make known, report"	"I bring back word, report; I announce, declare."
"0313"	"0335"	"a)nagenna/w"	"I beget again, beget into a new life"	"I beget again, beget into a new life."
"0314"	"0336"	"a)naginw/skw"	"I read"	"I read, know again, know certainly, recognize, discern."
"0315"	"0337"	"a)nagka/zw"	"I force, compel"	"I force, compel, constrain, urge."
"0316"	"0338"	"a)nagkai=os, a, on"	"necessary, essential"	"necessary, essential, intimate, right, proper."
"0317"	"0339"	"a)nagkastw=s"	"by force, necessarily"	"by way of compulsion, unwillingly, by force, necessarily."
"0318"	"0340"	"a)na/gkh, hs, h("	"necessity, constraint, compulsion"	"necessity, constraint, compulsion; there is need to; force, violence."
"0319"	"0341"	"a)nagnwri/zw"	"I make known to again, make to be recognized"	"I recognize; pass: I am made known, cause myself to be recognized."
"0320"	"0342"	"a)na/gnwsis, ews, h("	"reading"	"recognition, reading; public reading (of the law and prophets in synagogue or church)."
"0321"	"0343"	"a)na/gw"	"I lead up, put to sea, set sail"	"I lead up, bring up, offer, produce, put to sea, set sail."
"0322"	"0344"	"a)nadei/knumi"	"I show forth, show clearly, proclaim, appoint"	"I show forth, show clearly; hence: I proclaim (a person's appointment to an office), appoint."
"0323"	"0345"	"a)na/deicis, ews, h("	"the proclamation of an appointment"	"the proclamation of an appointment (to an office); perhaps rather admission to membership of a society."
"0324"	"0346"	"a)nade/xomai"	"I welcome, receive kindly, undertake"	"I welcome, receive kindly; I undertake, assume the responsibility of."
"0325"	"0347"	"a)nadi/dwmi"	"I send up, deliver, hand over"	"I send up, deliver, hand over, yield."
"0326"	"0348"	"a)naza/w"	"I come to life again, revive"	"I come to life again, revive, regain life."
"0327"	"0349"	"a)nazhte/w"	"I seek out, search for"	"I seek out, search for (implying the difficulty of the task)."
"0328"	"0350"	"a)nazw/nnumi"	"I gird up, brace up"	"I gird up, brace up (with a view to active exertion); a metaphor from the girding of the flowing tunic, to prevent its hampering one in active work."
"0329"	"0351"	"a)nazwpure/w"	"I stir up the fire, fan the flame of"	"I stir up the fire, fan the flame of."
"0330"	"0352"	"a)naqa/llw"	"I thrive or flourish again"	"I thrive or flourish again, revive."
"0331"	"0353"	"a)na/qema, atos, to/"	"a curse, a cursed thing"	"a votive offering, a thing devoted to God; a curse, the thing cursed."
"0332"	"0354"	"a)naqemati/zw"	"I curse, invoke curses"	"I curse, invoke curses, devote to destruction."
"0333"	"0355,1461"	"a)naqewre/w"	"I look at attentively, consider"	"I look at attentively, gaze at, consider."
"0334"	"0356"	"a)na/qhma, atos, to/"	"an offering dedicated by a worshipper"	"an offering dedicated (hung up in a temple) by a worshipper; a gift or offering consecrated to God."
"0335"	"0357"	"a)nai/deia, as, h("	"shamelessness, shameless persistence"	"shamelessness, shameless persistence (e.g. in greed)."
"0336"	"0358"	"a)nai/resis, ews, h("	"killing, slaying, murder"	"taking away (of life), killing, slaying, murder."
"0337"	"0359"	"a)naire/w"	"I take up, abolish, murder"	"I take up, take away the life of, make an end of, murder."
"0338"	"0360"	"a)nai/tios, on"	"guiltless"	"guiltless, innocent."
"0339"	"0361"	"a)nakaqi/zw"	"I sit up"	"I sit up."
"0340"	"0362"	"a)nakaini/zw"	"I renew, restore"	"I make fresh again, renew, restore."
"0341"	"0363"	"a)nakaino/w"	"I renew, amend, change"	"I renew, make new again."
"0342"	"0364"	"a)nakai/nwsis, ews, h("	"renewing"	"renewing; a renewal or change of heart and life."
"0343"	"0365"	"a)nakalu/ptw"	"I unveil"	"I unveil, uncover."
"0344"	"0366"	"a)naka/mptw"	"I return"	"I bend or turn back; I return."
"0345"	"0367"	"a)na/keimai"	"I recline, especially at a dinner-table"	"I recline, especially at a dinner-table."
"0346"	"0368"	"a)nakefalaio/w"	"I sum up, summarize, recapitulate, gather up in one"	"I sum up, summarize, recapitulate, gather up in one."
"0347"	"0369"	"a)nakli/nw"	"I make to recline, I recline at a table"	"I lay upon, lean against, lay down, make to recline; pass: I lie back, recline."
"0349"	"0371"	"a)nakra/zw"	"I shout aloud"	"I shout aloud, cry out."
"0350"	"0373"	"a)nakri/nw"	"I examine, inquire into"	"I examine, inquire into, investigate, question."
"0351"	"0374"	"a)na/krisis, ews, h("	"judicial examination, preliminary inquiry"	"judicial examination, preliminary inquiry."
"0352"	"0376"	"a)naku/ptw"	"I raise myself, look up"	"I raise myself, look up, am elated."
"0353"	"0377"	"a)nalamba/nw"	"I take up, raise"	"I take up, raise; I pick up, take on board; I carry off, lead away."
"0354"	"0378"	"a)na/lhyis, ews, h("	"a taking up, lifting up"	"a taking up, lifting up."
"0355"	"0379,0384"	"a)nali/skw"	"I destroy, annihilate"	"I destroy, annihilate, expend, consume."
"0356"	"0381"	"a)nalogi/a, as, h("	"proportion, measure"	"proportion, measure, analogy."
"0357"	"0382"	"a)nalogi/zomai"	"I think upon, consider attentively"	"I think upon, consider attentively."
"0358"	"0383"	"a)/nalos, on"	"saltless, tasteless, flat"	"saltless, tasteless, flat."
"0359"	"0385"	"a)na/lusis, ews, h("	"departing, departure from this life"	"a loosing, departing, departure (from this life); (Probably a metaphor from the yoking and unyoking of transport animals)."
"0360"	"0386"	"a)nalu/w"	"I depart, return"	"I unloose, unloose for departure, depart, return."
"0361"	"0387"	"a)nama/rthtos, on"	"without blame, faultless"	"without blame, faultless, unerring."
"0362"	"0388"	"a)name/nw"	"I await"	"I await (one whose coming is expected)."
"0363"	"0389"	"a)namimnh/skw"	"I remind, admonish, remember"	"I remind, admonish, am reminded, remind myself; pass: I remember, recall."
"0364"	"0390"	"a)na/mnhsis, ews, h("	"a recalling, remembrance, memory"	"a recalling, remembrance, memory."
"0365"	"0391"	"a)naneo/w"	"I renew"	"I renew; mid: I renew myself, am renewed."
"0366"	"0392"	"a)nanh/fw"	"I become sober again, recover sound sense"	"I become sober again, recover sound sense."
"0367"	"0393"	"*)anani/as, a, o("	"Ananias"	"Ananias, (a) husband of Sapphira, a member of the early church at Jerusalem, (b) a member of the church at Damascus, (c) the high priest at Jerusalem."
"0368"	"0394"	"a)nanti/rrhtos, on"	"indisputable, not to be contradicted"	"indisputable, undeniable, not to be contradicted."
"0369"	"0395"	"a)nantirrh/tws"	"without contradiction"	"without contradiction, without hesitation, promptly."
"0370"	"0396"	"a)na/cios, on"	"unworthy, inadequate"	"unworthy, inadequate."
"0371"	"0397"	"a)naci/ws"	"unworthily, in an unworthy manner"	"unworthily, in an unworthy manner."
"0372"	"0398"	"a)na/pausis, ews, h("	"rest, cessation from labor, refreshment"	"rest, cessation from labor, refreshment."
"0373"	"0399"	"a)napau/w"	"I make to rest, give rest to, rest, take my ease"	"I make to rest, give rest to; mid. and pass: I rest, take my ease."
"0374"	"0400"	"a)napei/qw"	"I urge by evil persuasion, I tempt"	"I persuade, incite, seduce, tempt."
"0375"	"0402"	"a)nape/mpw"	"I send up to a higher tribunal, I send back"	"I send up (to a higher tribunal), send back."
"0376"	"0401"	"a)na/phros, on"	"crippled, maimed"	"crippled, maimed."
"0377"	"0404"	"a)napi/ptw"	"I lie down, recline, fall back upon"	"I lie down, recline (at a dinner-table), fall back upon (the breast of another person reclining at dinner)."
"0378"	"0405"	"a)naplhro/w"	"I fill up, make up, fulfill"	"I fill up, make up, complete the measure of, fulfill, carry out the commands (provisions, etc.) of."
"0379"	"0406"	"a)napolo/ghtos, on"	"indefensible, inexcusable"	"without (ground of) defense, indefensible, inexcusable."
"0380"	"0408"	"a)naptu/ssw"	"I unroll"	"I unroll, roll back, unfold."
"0381"	"0409"	"a)na/ptw"	"I kindle, set on fire"	"I kindle, set on fire, light."
"0382"	"0410"	"a)nari/qmhtos, on"	"uncountable, innumerable"	"uncountable, innumerable, that cannot be numbered."
"0383"	"0411"	"a)nasei/w"	"I shake up, stir up, excite"	"I shake up, stir up, excite."
"0384"	"0412"	"a)naskeua/zw"	"I pervert, unsettle, destroy"	"I pervert, subvert, dismantle, unsettle, overthrow, destroy."
"0385"	"0413"	"a)naspa/w"	"I drag up, pull up"	"I drag up, pull up, draw up, draw out."
"0386"	"0414"	"a)na/stasis, ews, h("	"a rising again, resurrection"	"a rising again, resurrection."
"0387"	"0415"	"a)nastato/w"	"I turn upside down, upset, unsettle"	"(perhaps a political metaphor), I turn upside down, upset, unsettle."
"0388"	"0416"	"a)nastauro/w"	"I crucify again"	"I impede, crucify (again)."
"0389"	"0417"	"a)nastena/zw"	"I groan or sigh deeply"	"I groan or sigh deeply."
"0390"	"0418"	"a)nastre/fw"	"I overturn, turn upside down, return, mid. and pass: I conduct myself, live"	"I overturn; I turn back, return; I turn hither and thither; pass: I turn myself about; I sojourn, dwell; I conduct myself, behave, live."
"0391"	"0419"	"a)nastrofh/, h=s, h("	"behavior, manner of life"	"dealing with other men, conduct, life, behavior, manner of life."
"0392"	"0421"	"a)nata/ssomai"	"I arrange, draw up, compose"	"I arrange, draw up, compose, but perhaps: I set down from memory, restore from memory."
"0393"	"0422"	"a)nate/llw"	"I make to rise, I rise, shine"	"I make to rise, I rise, shine (generally of the sun, and hence met.)."
"0394"	"0423"	"a)nati/qhmi"	"I lay a case before, impart, communicate, relate"	"I lay (a case) before, impart, communicate, declare, relate (with a view to consulting)."
"0395"	"0424"	"a)natolh/, h=s, h("	"rising of the sun, the East"	"(a) rising of the sun, hence (b) (sing. and plur.) the quarter whence the sun rises, the East."
"0396"	"0426"	"a)natre/pw"	"I subvert, overturn, overthrow"	"I overturn (lit. or met.), subvert, overthrow, corrupt."
"0397"	"0427"	"a)natre/fw"	"I rear, bring up"	"I rear, bring up, nourish, educate."
"0398"	"0428"	"a)nafai/nw"	"I sight, I appear"	"(a) a nautical term: I sight (a place), (b) mid: I appear (as it were, out of the unseen), (c) I bring to light, make to appear."
"0399"	"0429"	"a)nafe/rw"	"I carry up, lead up, offer up"	"(a) I carry up, lead up, (b) I offer up (on a high altar) as a sacrifice, offer up to God on high."
"0400"	"0430"	"a)nafwne/w"	"I call out, shout"	"I call out, shout, exclaim."
"0401"	"0431"	"a)na/xusis, ews, h("	"outpouring, excess"	"outpouring, excess, overflow, a pouring out."
"0402"	"0432"	"a)naxwre/w"	"I return, retire, depart, withdraw"	"I return, retire, withdraw, depart (underlying idea perhaps of taking refuge from danger or of going into retirement)."
"0403"	"0433"	"a)na/yucis, ews, h("	"refreshing, refreshment"	"a refreshing, refreshment."
"0404"	"0434"	"a)nayu/xw"	"I refresh, revive, comfort"	"I refresh, revive, comfort."
"0405"	"0435"	"a)ndrapodisth/s, ou=, o("	"an enslaver, a kidnapper"	"an enslaver, one who forcibly enslaves, a kidnapper."
"0406"	"0436"	"*)andre/as, ou, o("	"Andrew"	"Andrew, brother of Simon Peter, and one of the apostles of Jesus, belonging to Bethsaida."
"0407"	"0437"	"a)ndri/zomai"	"I act like a man, am brave"	"I act like a man, am brave."
"0408"	"0438"	"*)andro/nikos, ou, o("	"Andronicus"	"Andronicus, a member of the Roman church, and a kinsman or fellow-tribesman of Paul."
"0409"	"0439"	"a)ndrofo/nos, ou, o("	"a murderer"	"a murderer, man-slayer."
"0410"	"0441"	"a)ne/gklhtos, on"	"irreproachable, blameless"	"irreproachable, blameless."
"0411"	"0442"	"a)nekdih/ghtos, on"	"indescribable, that cannot be thoroughly related"	"indescribable, that cannot be thoroughly related, inexpressible."
"0412"	"0443"	"a)nekla/lhtos, on"	"unspeakable"	"unspeakable."
"0413"	"0444"	"a)ne/kleiptos, on"	"unfailing"	"unfailing."
"0414"	"0445"	"a)nekto/s, h/, o/n"	"endurable, tolerable"	"endurable, tolerable."
"0415"	"0446"	"a)neleh/mwn, on"	"without compassion, cruel"	"unpitying, unmerciful, without compassion, cruel."
"0416"	"0448"	"a)nemi/zw"	"I am blown with the wind"	"I am blown with the wind (referring to the gentler motions of the air)."
"0417"	"0449"	"a)/nemos, ou, o("	"the wind"	"the wind; fig: applied to empty doctrines."
"0418"	"0450"	"a)ne/ndektos, on"	"impossible"	"impossible, inadmissible."
"0419"	"0451"	"a)necereu/nhtos, on"	"that cannot be searched into, inscrutable"	"that cannot be searched into, inscrutable, unfathomable."
"0420"	"0452"	"a)neci/kakos, on"	"enduring evil, patient of evil"	"enduring evil, patient of evil, patiently forbearing."
"0421"	"0453"	"a)necixni/astos, on"	"incomprehensible"	"that cannot be explored, incomprehensible."
"0422"	"0454"	"a)nepai/sxuntos, on"	"having no cause to be ashamed"	"having no cause to be ashamed."
"0423"	"0455"	"a)nepi/lhptos, on"	"irreproachable"	"irreproachable, never caught doing wrong."
"0424"	"0456"	"a)ne/rxomai"	"I come up, go up"	"I come up, go up, ascend."
"0425"	"0457"	"a)/nesis, ews, h("	"relief, remission, indulgence, freedom, rest"	"relief, remission, indulgence, freedom, rest."
"0426"	"0458"	"a)neta/zw"	"I examine judicially"	"I examine (a person on trial, a witness) judicially (frequently by the aid of torture)."
